id,acceptable_earliness,acceptable_lateness,code,country,gas_measurement,latitude,location_kilometers,longitude,max_earliness,max_lateness,min_euronorm,name,open_from,open_to,service_duration,service_type,type,weigh_in_out
dcdee939-6f5b-4ff4-b7e7-c638429dba9f,-15,15,CHEWSU,DE,False,53.01791,0,7.52172,-30,30,0,Chew-Treats International Gmbh,00:00:00,23:59:59,30,live_handling,port,False
54aa839f-9031-4e25-aee1-af32b489763c,-15,15,PARATI,NL,False,51.5921989,0,5.0086492,-30,30,0,Para Intern.,00:00:00,23:59:59,30,live_handling,region,False
72777118-c46f-4751-a9d2-3e18160c1fb7,-15,15,BADEHE,NL,False,52.2432697,0,6.7664906,-30,30,0,Badentrend,00:00:00,23:59:59,30,live_handling,region,False
9b58a37c-701d-4693-a831-d2dc339117bf,-15,15,SARPAL,NL,False,52.3655304,0,6.6417817,-30,30,0,Sar Petfood,00:00:00,23:59:59,30,live_handling,region,False
02308576-8dbc-4b28-b1b2-d70e4f4cdc38,-15,15,NOOREN,NL,False,52.3827309,0,6.613816,-30,30,0,Noord Oost Nederland BV,00:00:00,23:59:59,30,live_handling,region,False
188b2daa-7a06-4061-8ac0-0e5aa46f8ff3,-15,15,SOLVEN,NL,False,52.6972996,0,5.2786573,-30,30,0,Solvay Draka,00:00:00,23:59:59,30,live_handling,region,False
7394e43d-1742-4b18-a639-035f34f4278f,-15,15,SOLFHE,NL,False,52.6732114,0,5.1916949,-30,30,0,Solflor Export B.V.,00:00:00,23:59:59,30,live_handling,region,False
aaef6e5a-74a0-487f-b938-4dec1515dec8,-15,15,KOOPEM,NL,False,52.7123867,0,5.7786802,-30,30,0,Koopman Import/Export,00:00:00,23:59:59,30,live_handling,region,False
5a51eee8-9db3-4cd6-b66e-550cbe4a48ee,-15,15,BOGEBE,NL,False,51.9778302,0,4.4990986,-30,30,0,Van den Bogerd Transport B.V.,00:00:00,23:59:59,30,live_handling,port,False
ae9eb1f8-ac62-4593-ab2a-96a22ce6d31d,-15,15,SCATSU,SE,False,62.390811,0,17.306927,-30,30,0,SCA Transforest AB,00:00:00,23:59:59,30,live_handling,port,False
3c5dff93-b7b0-4185-a3a7-7bc4608d5ff9,-15,15,SCHWRI,DE,False,52.1968195,0,9.065979,-30,30,0,Friedrich Schwarze GmbH & Co. KG,00:00:00,23:59:59,30,live_handling,region,False
c1ef0916-8fc1-4bf6-8cdd-3f6ef3d2c287,-15,15,RHENHI,DE,False,52.32219,0,8.74767,-30,30,0,Rhenus Hille,00:00:00,23:59:59,30,live_handling,region,False
acd503d7-a7a6-46a3-8f51-210ee5d54073,-15,15,MASCSE,DE,False,51.91028,0,7.47722,-30,30,0,Maschinenfabrik GmbH,00:00:00,23:59:59,30,live_handling,region,False
d6bf7c98-dbf8-4176-ad47-e33ea9478d1c,-15,15,GUSTGU,DE,False,51.9036965,0,8.4039854,-30,30,0,Gustav Wolf,00:00:00,23:59:59,30,live_handling,region,False
c7ccc210-97b0-40e3-92f6-a13ee18168a8,-15,15,VADEZO,NL,False,52.1230672,0,4.4944237,-30,30,0,Vadema Transport,00:00:00,23:59:59,30,live_handling,port,False
74a9d8dd-4662-49bf-adca-d85dcbb42316,-15,15,MARKVE,NL,False,53.1254469,0,6.8795911,-30,30,0,Mark BV,00:00:00,23:59:59,30,live_handling,region,False
